,G,p,budget,from_cache,method,trial_id,min_exposed_value,mip_value,greedy_intersection,maxD,I_size,v1_size,v2_size,num_cross_edges,duration,updated_MIP
83,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,greedy_weighted,1,"(1081.6, 38.53310265213535)",443.1971509958908,-1,40,3788,29469,26469,110302,0.2889555340007064,5419.714165781296
84,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,dependent,0,"(1212.6, 33.17830616532435)",464.34540903770477,215,55,1571,19199,37986,149737,35.02381429400157,3019.69061826864
85,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,dependent,0,"(1129.4, 34.37004509743913)",442.50140304936326,151,40,3788,29469,26469,110302,17.432032112999874,5419.018417834768
86,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/lb9.json,dependent,1,"(1138.2, 45.49395564248068)",442.78686541897997,143,40,3788,29469,26469,110302,18.451670145999746,5419.303880204385
87,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ya7.json,mip_gurobi,0,"(1274.4, 40.648493207005835)",463.99102196909126,213,44,3014,28425,29804,130469,34.09642498999892,5006.960743888885
88,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb12.json,random,0,"(445.2, 17.22498185775532)",253.88797751763522,4,21,5490,22977,15421,37672,2.9721764160003663,4281.423432389286
89,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,random,1,"(217.2, 13.935566009315874)",140.580064111572,18,30,2465,10920,13625,24940,2.2836172309998797,1508.4867645074921
90,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/sb14.json,mip_gurobi,1,"(176.8, 5.674504383644442)",117.05005377299909,270,31,2393,11016,13992,25342,7.822462285999791,1479.6524006044842
91,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb12.json,dependent,1,"(403, 15.394804318340652)",223.7904601411933,177,21,5490,22977,15421,37672,4.038585430000239,4251.325915012844
92,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/zb9.json,mip_gurobi,1,"(910.2, 41.105960638330785)",381.366388017665,173,38,5181,31140,21397,79421,22.832943219000303,6321.926808468211
93,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/rb5.json,dependent,1,"(1209, 37.1685350800916)",467.2968291151128,199,55,1571,19199,37986,149737,37.43547836200014,3022.6420383460477
94,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,random,0,"(67.8, 9.038805230781334)",51.12377091625265,48,28,609,3182,7326,10008,0.3564331189991208,369.79164882101543
95,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,random,0,"(222, 3.7416573867739413)",141.49160855843658,5,30,2465,10920,13625,24940,1.9595116589989632,1509.3983089543567
96,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb14.json,dependent,0,"(190, 11.113055385446435)",117.31111356546312,222,30,2465,10920,13625,24940,2.8223411950002633,1485.2178139613832
97,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/jb12.json,greedy_weighted,0,"(397.8, 22.58760722166029)",227.33778237879014,-1,21,5490,22977,15421,37672,0.2092463389999466,4254.873237250441
98,montgomery,0.078,400,/home/ubuntu/ContactTracing/data/SIR_Cache/time_trials/ta16.json,dependent,0,"(43.4, 5.639148871948674)",34.572914251919954,286,28,609,3182,7326,10008,0.5772154200003571,353.24079215668274
